date,gpp,nee,stress
2012-08-24,1.975,1.198,0.626
2012-08-25,2.527,1.026,0.551
2012-08-26,2.473,0.859,0.585
2012-08-27,2.29,,0.576
2012-08-28,2.198,1.034,0.578
2012-08-29,1.909,0.781,0.53
2012-08-30,1.816,1.097,0.485
2012-08-31,2.231,0.858,0.445
2012-09-01,2.039,0.877,0.507
2012-09-02,1.327,1.181,0.452
2012-09-03,1.925,1.325,0.415
2012-09-04,2.066,0.833,
2012-09-05,1.71,0.543,0.386
2012-09-06,1.771,0.753,0.367
2012-09-07,,,
2012-09-08,,,
2012-09-09,,,
2012-09-10,,,
2012-09-11,1.351,1.005,0.297
2012-09-12,1.331,0.526,0.288
2012-09-13,1.727,0.593,0.273
2012-09-14,1.466,1.62,0.272
2012-09-15,0.696,1.768,0.213
2012-09-16,1.605,0.461,0.255
2012-09-17,0.954,0.441,0.241
2012-09-18,1.899,0.259,0.277
2012-09-19,,,
2012-09-20,,,
2012-09-21,1.089,0.766,0.05
2012-09-22,0.367,0.804,0.0
2012-09-23,1.102,0.984,0.049
2012-09-24,0.779,0.537,0.026
2012-09-25,1.16,0.721,0.065
2012-09-26,0.929,1.194,0.078
2012-09-27,1.333,0.471,0.056
2012-09-28,0.55,1.834,0.026
2012-09-29,0.983,1.279,0.051
2012-09-30,0.3,1.183,0.086
2012-10-01,0.737,0.695,0.093
2012-10-02,0.362,1.292,0.03
2012-10-03,1.382,0.917,0.051
2012-10-04,0.733,1.414,0.032
2012-10-05,0.59,1.056,0.088
2012-10-06,0.979,0.487,0.063
2012-10-07,,,
2012-10-08,,,
2012-10-09,,,
2012-10-10,,,
2012-10-11,,,
2012-10-12,,,
2012-10-13,,,
2012-10-14,,,
2012-10-15,0.256,1.3,0.054
2012-10-16,,,
2012-10-17,,,
2012-10-18,,,
2012-10-19,0.356,0.464,0.0
2012-10-20,0.429,0.77,0.006
2012-10-21,0.674,1.529,0.06
2012-10-22,0.25,1.824,0.054
2012-10-23,0.333,1.129,0.041
2012-10-24,0.0,0.741,0.035
2012-10-25,0.338,1.159,0.087
2012-10-26,0.0,1.8,
2012-10-27,0.0,1.44,0.112
2012-10-28,0.181,0.966,0.056
2012-10-29,0.0,0.961,0.013
2012-10-30,0.197,0.954,0.061
2012-10-31,0.43,1.169,0.037
2012-11-01,0.633,0.925,0.04
2012-11-02,0.0,1.104,0.085
2012-11-03,0.147,0.988,0.08
2012-11-04,0.52,0.761,0.023
2012-11-05,0.0,1.128,0.058
2012-11-06,0.063,0.534,0.07
2012-11-07,0.067,0.843,0.085
2012-11-08,0.427,1.154,0.064
2012-11-09,0.886,0.878,0.045
2012-11-10,0.0,1.655,0.039
2012-11-11,0.341,0.497,0.096
2012-11-12,0.0,1.191,0.03
2012-11-13,0.0,1.205,0.06
2012-11-14,0.295,1.07,0.056
2012-11-15,0.529,1.223,0.005
2012-11-16,0.0,0.851,0.001
2012-11-17,0.278,1.671,0.035
2012-11-18,0.0,1.544,0.024
2012-11-19,0.0,1.559,0.056
2012-11-20,0.0,1.463,0.067
2012-11-21,0.0,1.39,0.033
2012-11-22,0.327,0.891,0.05
2012-11-23,0.214,1.345,0.041
2012-11-24,0.548,1.215,0.112
2012-11-25,,0.915,0.103
2012-11-26,0.482,1.158,0.064
2012-11-27,0.069,1.142,0.044
2012-11-28,,,
2012-11-29,,,
2012-11-30,,,
2012-12-01,,,
2012-12-02,0.0,1.081,0.057
2012-12-03,0.0,1.417,0.029
2012-12-04,0.216,0.763,0.076
2012-12-05,0.0,1.133,0.034
2012-12-06,0.0,0.478,0.028
2012-12-07,0.47,0.741,0.068
2012-12-08,0.064,1.484,0.0
2012-12-09,0.521,1.038,0.078
2012-12-10,0.274,0.646,0.082
2012-12-11,0.0,1.049,0.007
2012-12-12,0.457,1.4,0.0
2012-12-13,0.373,1.918,0.01
2012-12-14,0.096,1.368,0.044
2012-12-15,0.032,1.097,0.081
2012-12-16,0.222,,0.036
2012-12-17,0.0,1.711,0.084
2012-12-18,0.153,1.671,0.034
2012-12-19,0.0,1.01,0.066
2012-12-20,0.893,0.836,0.062
2012-12-21,0.0,1.078,0.073
2012-12-22,0.0,1.092,0.035
2012-12-23,0.0,1.225,0.064
2012-12-24,0.101,1.473,0.033
2012-12-25,0.258,1.26,0.046
2012-12-26,0.217,0.782,0.012
2012-12-27,0.0,1.716,0.103
2012-12-28,0.0,1.804,0.094
2012-12-29,0.0,1.736,0.047
2012-12-30,0.0,1.372,0.037
2012-12-31,0.603,0.931,0.055
2015-01-01,0.31,0.563,0.074
2015-01-02,0.0,1.359,0.09
2015-01-03,0.133,0.415,0.006
2015-01-04,0.372,1.214,0.062
2015-01-05,0.0,1.277,0.028
2015-01-06,0.0,1.134,0.028
2015-01-07,0.577,1.665,0.093
2015-01-08,0.166,0.817,0.054
2015-01-09,0.499,0.547,0.011
2015-01-10,0.021,1.5,0.073
2015-01-11,0.0,0.865,0.022
2015-01-12,0.263,1.175,0.033
2015-01-13,0.165,1.318,0.114
2015-01-14,0.0,,0.048
2015-01-15,0.0,1.425,0.059
2015-01-16,0.658,0.646,0.091
2015-01-17,0.0,2.058,0.071
2015-01-18,0.0,1.178,0.052
2015-01-19,0.0,1.156,0.085
2015-01-20,0.0,0.744,0.056
2015-01-21,0.0,1.424,0.003
2015-01-22,0.084,1.291,0.029
2015-01-23,0.333,1.032,0.026
2015-01-24,0.0,0.971,0.035
2015-01-25,0.348,1.015,0.033
2015-01-26,0.351,1.145,0.032
2015-01-27,0.0,0.687,0.079
2015-01-28,0.277,1.859,0.068
2015-01-29,0.365,0.761,0.026
2015-01-30,0.0,1.21,0.029
2015-01-31,0.359,0.798,0.06
2015-02-01,0.0,1.673,0.064
2015-02-02,0.115,1.24,0.057
2015-02-03,0.532,1.319,0.012
2015-02-04,0.0,0.76,0.044
2015-02-05,0.0,0.766,0.089
2015-02-06,0.0,1.419,
2015-02-07,0.0,1.178,0.084
2015-02-08,0.0,1.036,0.06
2015-02-09,0.0,0.779,0.046
2015-02-10,0.0,1.9,0.061
2015-02-11,0.0,1.292,0.028
2015-02-12,0.0,0.568,0.095
2015-02-13,0.0,1.874,0.064
2015-02-14,0.0,0.971,0.002
2015-02-15,0.047,0.94,0.059
2015-02-16,,,
2015-02-17,,,
2015-02-18,,,
2015-02-19,,,
2015-02-20,,,
2015-02-21,,,
2015-02-22,,,
2015-02-23,,,
2015-02-24,,,
2015-02-25,,,
2015-02-26,0.139,1.467,0.053
2015-02-27,0.0,1.272,0.065
2015-02-28,0.0,2.118,0.024
2015-03-01,0.0,0.638,0.031
2015-03-02,0.124,0.66,0.042
2015-03-03,0.0,0.958,0.005
2015-03-04,0.078,1.478,0.026
2015-03-05,0.514,0.928,0.094
2015-03-06,0.0,1.615,0.029
2015-03-07,0.037,1.024,0.039
2015-03-08,0.0,0.72,0.054
2015-03-09,0.0,1.104,0.1
2015-03-10,0.144,0.81,0.023
2015-03-11,0.03,1.3,0.063
2015-03-12,0.388,0.902,0.034
2015-03-13,0.197,0.73,0.047
2015-03-14,0.0,1.513,0.037
2015-03-15,0.098,0.542,0.074
2015-03-16,0.32,0.793,0.056
2015-03-17,0.574,0.769,0.034
2015-03-18,0.067,1.509,0.076
2015-03-19,0.489,0.338,0.0
2015-03-20,0.622,0.825,0.067
2015-03-21,0.234,1.29,0.066
2015-03-22,0.388,1.455,0.07
2015-03-23,0.024,1.719,0.079
2015-03-24,0.653,1.545,0.02
2015-03-25,0.0,2.0,0.029
2015-03-26,0.802,0.503,0.067
2015-03-27,0.227,1.125,0.05
2015-03-28,,,
2015-03-29,,,
2015-03-30,,,
2015-03-31,,,
2015-04-01,,,
2015-04-02,0.874,1.038,0.048
2015-04-03,0.603,1.137,0.025
2015-04-04,0.239,1.967,0.09
2015-04-05,0.292,1.266,0.098
2015-04-06,1.038,1.188,0.048
2015-04-07,1.261,-0.031,0.053
2015-04-08,1.53,0.536,0.047
2015-04-09,1.594,0.102,0.045
2015-04-10,1.079,0.544,0.049
2015-04-11,1.562,-0.223,0.037
2015-04-12,0.796,0.62,0.071
2015-04-13,1.572,-0.209,0.0
2015-04-14,1.623,0.123,0.106
2015-04-15,1.68,-0.063,
2015-04-16,1.638,0.129,0.007
2015-04-17,2.045,-0.242,0.012
2015-04-18,2.07,-0.277,0.023
2015-04-19,1.554,0.343,0.074
2015-04-20,2.58,,0.125
2015-04-21,2.187,-0.324,0.055
2015-04-22,2.139,0.446,0.095
2015-04-23,2.269,-0.476,0.067
2015-04-24,2.632,-0.568,0.061
2015-04-25,2.952,-0.481,0.055
2015-04-26,3.288,-0.036,0.075
2015-04-27,2.587,-0.212,0.077
2015-04-28,3.645,-1.095,0.011
2015-04-29,2.915,-0.366,0.041
2015-04-30,3.329,-0.993,0.025
2015-05-01,3.873,-0.681,0.042
2015-05-02,3.426,-0.79,0.048
2015-05-03,4.078,-1.679,0.074
2015-05-04,3.832,-0.71,0.0
2015-05-05,4.072,-1.44,0.073
2015-05-06,4.003,-0.912,0.0
2015-05-07,4.533,-1.559,0.016
2015-05-08,5.161,-1.592,0.102
2015-05-09,4.414,-1.325,0.092
2015-05-10,3.914,-1.033,0.052
2015-05-11,5.259,-1.963,0.049
2015-05-12,4.51,-1.431,0.0
2015-05-13,5.421,-2.011,0.069
2015-05-14,5.614,-2.205,0.022
2015-05-15,5.18,-1.342,0.017
2015-05-16,5.62,-2.329,0.093
2015-05-17,6.122,-2.404,0.055
2015-05-18,6.132,-2.195,0.05
2015-05-19,6.148,-2.191,0.0
2015-05-20,6.781,-2.219,0.025
2015-05-21,6.678,-3.078,0.045
2015-05-22,7.256,-3.196,0.057
2015-05-23,7.656,-3.823,0.019
2015-05-24,7.072,-2.916,0.059
2015-05-25,7.188,-2.095,0.032
2015-05-26,7.984,-3.634,0.065
2015-05-27,8.103,-3.417,0.017
2015-05-28,7.584,-3.049,0.084
2015-05-29,8.36,-3.949,0.027
2015-05-30,8.451,-4.512,0.064
2015-05-31,7.987,-2.65,0.024
2015-06-01,8.936,-4.514,0.032
2015-06-02,8.732,-3.195,0.049
2015-06-03,,-3.658,0.054
2015-06-04,9.33,-4.079,0.056
2015-06-05,9.573,-4.25,0.01
2015-06-06,10.039,-4.603,0.075
2015-06-07,9.124,-4.091,0.09
2015-06-08,9.148,-3.826,
2015-06-09,9.283,-4.341,0.041
2015-06-10,10.504,-5.374,0.078
2015-06-11,10.179,-4.661,0.03
2015-06-12,10.913,-5.61,0.059
2015-06-13,10.706,-5.08,0.0
2015-06-14,10.827,-5.672,0.067
2015-06-15,10.096,-4.855,0.064
2015-06-16,11.171,-4.711,0.048
2015-06-17,10.616,-4.828,0.039
2015-06-18,11.174,-5.864,0.064
2015-06-19,11.214,-5.108,0.055
2015-06-20,11.169,-5.219,0.043
2015-06-21,11.687,-5.809,0.061
2015-06-22,11.27,-5.82,0.044
2015-06-23,11.21,-5.155,0.067
2015-06-24,11.097,-4.899,0.006
2015-06-25,10.854,-5.012,0.056
2015-06-26,11.931,-5.834,0.038
2015-06-27,11.721,-5.575,0.056
2015-06-28,11.888,-5.687,0.03
2015-06-29,12.01,-6.15,0.094
2015-06-30,11.77,-5.521,0.002
2015-07-01,11.677,,0.044
2015-07-02,11.903,-5.893,0.01
2015-07-03,11.879,-6.042,0.093
2015-07-04,11.478,-5.188,0.043
2015-07-05,11.335,-5.27,0.063
2015-07-06,11.766,-5.434,0.051
2015-07-07,11.767,-5.802,0.04
2015-07-08,12.347,-5.906,0.047
2015-07-09,11.388,-5.789,0.115
2015-07-10,11.549,-5.474,0.051
2015-07-11,10.807,-4.546,0.062
2015-07-12,11.377,-5.831,0.066
2015-07-13,11.417,,0.013
2015-07-14,11.467,-5.351,0.082
2015-07-15,10.611,-5.195,
2015-07-16,11.074,-5.083,0.074
2015-07-17,10.62,-4.899,0.053
2015-07-18,10.263,-4.447,0.052
2015-07-19,10.363,-4.379,0.098
2015-07-20,10.841,-4.629,0.071
2015-07-21,9.892,-4.251,0.085
2015-07-22,9.706,-3.714,0.101
2015-07-23,9.614,-3.934,0.164
2015-07-24,9.099,-3.534,0.147
2015-07-25,9.094,-4.266,0.164
2015-07-26,8.154,-2.995,0.167
2015-07-27,8.122,-2.819,0.221
2015-07-28,7.905,-2.63,0.305
2015-07-29,7.761,-2.929,0.314
2015-07-30,7.136,-2.174,0.271
2015-07-31,6.845,,0.329
2015-08-01,6.069,-0.689,0.347
2015-08-02,6.328,-1.896,0.293
2015-08-03,6.425,-1.636,0.353
2015-08-04,6.005,-1.021,0.299
2015-08-05,6.33,-1.958,0.339
2015-08-06,5.764,-1.19,0.262
2015-08-07,6.883,-1.729,0.257
2015-08-08,6.511,-1.741,0.21
2015-08-09,6.439,-1.916,0.199
2015-08-10,,,
2015-08-11,,,
2015-08-12,,,
2015-08-13,6.641,-2.319,0.08
2015-08-14,6.896,-2.853,0.047
2015-08-15,6.64,-2.789,0.041
2015-08-16,5.752,-1.943,0.004
2015-08-17,6.046,-2.108,0.109
2015-08-18,5.631,-2.456,0.01
2015-08-19,5.61,-2.434,
2015-08-20,5.936,-2.09,0.083
2015-08-21,5.301,-1.703,0.023
2015-08-22,5.681,-2.936,0.034
2015-08-23,4.886,-2.009,0.054
2015-08-24,4.777,-1.655,0.048
2015-08-25,4.913,-1.523,0.071
2015-08-26,4.915,-2.056,0.074
2015-08-27,4.375,-1.289,0.046
2015-08-28,,,
2015-08-29,,,
2015-08-30,,,
2015-08-31,3.862,-0.91,
2015-09-01,3.683,-0.821,0.0
2015-09-02,4.097,-1.357,0.024
2015-09-03,3.221,-0.114,0.0
2015-09-04,3.353,-1.128,0.074
2015-09-05,2.856,-0.162,0.083
2015-09-06,3.402,-0.397,0.021
2015-09-07,2.943,-0.462,0.009
2015-09-08,2.446,0.074,0.038
2015-09-09,2.662,-0.269,0.036
2015-09-10,2.518,0.401,0.019
2015-09-11,2.49,-0.637,0.073
2015-09-12,2.013,0.366,0.068
2015-09-13,1.862,-0.136,0.044
2015-09-14,2.37,0.038,0.074
2015-09-15,1.728,-0.054,0.042
2015-09-16,1.829,0.131,0.112
2015-09-17,1.434,0.249,0.005
2015-09-18,1.653,0.751,0.066
2015-09-19,,,
2015-09-20,,,
2015-09-21,,,
2015-09-22,,0.695,0.047
2015-09-23,1.871,0.041,0.06
2015-09-24,1.296,0.725,0.089
2015-09-25,1.772,-0.232,0.061
2015-09-26,1.009,1.183,0.06
2015-09-27,1.277,0.476,0.051
2015-09-28,0.887,0.727,0.118
2015-09-29,0.411,1.093,0.013
2015-09-30,0.345,0.728,0.038
2015-10-01,0.404,1.197,0.0
2015-10-02,0.522,1.012,0.0
2015-10-03,0.764,0.841,
2015-10-04,0.895,0.523,0.001
2015-10-05,0.63,0.765,0.09
2015-10-06,0.564,0.742,0.017
2015-10-07,0.265,0.929,0.121
2015-10-08,0.356,1.586,0.0
2015-10-09,0.288,1.249,0.008
2015-10-10,0.257,1.185,
2015-10-11,0.633,1.117,0.048
2015-10-12,0.352,0.358,0.08
2015-10-13,0.539,0.506,0.077
2015-10-14,0.9,0.277,0.05
2015-10-15,0.234,0.881,0.111
2015-10-16,0.236,1.616,0.039
2015-10-17,0.672,1.137,0.107
2015-10-18,0.0,1.106,0.062
2015-10-19,0.0,1.569,0.052
2015-10-20,0.349,0.926,0.099
2015-10-21,0.538,0.674,0.031
2015-10-22,0.0,0.852,0.049
2015-10-23,0.095,1.201,0.026
2015-10-24,0.0,1.221,0.047
2015-10-25,0.0,1.427,0.038
2015-10-26,0.723,0.609,0.009
2015-10-27,0.424,0.933,0.036
2015-10-28,0.0,1.473,0.072
2015-10-29,0.547,0.869,0.023
2015-10-30,0.763,0.251,0.04
2015-10-31,0.0,1.229,0.047
2015-11-01,0.242,0.697,0.059
2015-11-02,0.214,1.121,0.104
2015-11-03,0.0,0.575,0.054
2015-11-04,0.0,0.906,0.067
2015-11-05,0.0,1.357,0.058
2015-11-06,0.647,1.354,0.012
2015-11-07,0.0,0.561,0.08
2015-11-08,0.0,0.906,0.024
2015-11-09,0.0,1.669,0.039
2015-11-10,0.0,0.887,0.109
2015-11-11,0.0,1.58,0.08
2015-11-12,0.414,0.526,0.016
2015-11-13,0.057,0.982,0.089
2015-11-14,0.0,1.773,0.047
2015-11-15,0.051,1.022,0.05
2015-11-16,0.0,1.141,0.121
2015-11-17,0.0,1.193,0.013
2015-11-18,0.108,1.334,0.016
2015-11-19,0.0,1.597,0.06
2015-11-20,0.0,0.665,0.03
2015-11-21,0.509,0.89,0.005
2015-11-22,0.0,0.818,0.042
2015-11-23,0.0,0.769,0.06
2015-11-24,0.0,0.799,0.025
2015-11-25,0.233,0.625,0.055
2015-11-26,0.545,0.392,0.062
2015-11-27,0.0,1.566,0.091
2015-11-28,0.0,1.746,0.044
2015-11-29,0.0,1.389,0.063
2015-11-30,0.401,0.634,0.04
2015-12-01,0.141,1.489,0.054
2015-12-02,0.0,1.243,0.052
2015-12-03,0.0,1.692,0.085
2015-12-04,0.0,1.282,0.05
2015-12-05,,,
2015-12-06,,,
2015-12-07,,,
2015-12-08,,,
2015-12-09,,,
2015-12-10,,,
2015-12-11,,,
2015-12-12,0.507,1.165,0.016
2015-12-13,0.322,1.132,0.052
2015-12-14,0.153,1.026,0.107
2015-12-15,0.072,1.058,0.064
2015-12-16,0.172,1.642,0.092
2015-12-17,0.0,0.898,
2015-12-18,0.0,0.693,0.037
2015-12-19,0.0,1.969,0.043
2015-12-20,0.0,1.97,0.018
2015-12-21,0.342,1.198,0.044
2015-12-22,0.384,0.466,0.1
2015-12-23,0.0,1.322,0.023
2015-12-24,0.145,1.566,0.077
2015-12-25,0.0,1.572,0.039
2015-12-26,,,
2015-12-27,,,
2015-12-28,0.333,1.895,0.013
2015-12-29,0.0,1.083,0.093
2015-12-30,0.334,0.852,0.058
2015-12-31,0.315,1.119,0.057
